,Keyword,Likes,Comments,Views
228,business,385847,4381,54244089
229,business,79281,1683,9090985
230,business,24029,422,1820413
231,business,9178,111,933111
232,business,21367,467,2822656
233,business,43643,1336,5750667
234,business,6028,697,533712
235,business,229141,7461,28325416
236,business,253,2,6389
237,business,25934,424,1102647
238,business,114,2,2270
239,business,13038,470,368017
240,business,3232,580,188875
241,business,46519,1064,2228510
242,business,1483,122,45872
243,business,-1,1144,676300
244,business,27189,622,1273223
245,business,14477,1661,580096
246,business,57308,2303,859569
247,business,441,496,26499
248,business,17327,965,561921
249,business,489,240,14263
250,business,216891,11046,2018720
251,business,29443,1408,1218268
252,business,65748,1269,5351715
253,business,295,9,15582
254,business,36376,1876,875957
255,business,52363,2102,984168
256,business,49949,5045,2464907
257,business,5015,1830,520371
258,business,1090,485,45006
259,business,13852,516,776034
260,business,134,16,2786
261,business,22569,859,384275
262,business,2063,662,37352
263,business,539,23,23819
264,business,32152,393,589907
265,business,13126,600,746236
266,business,-1,13,12332
267,business,2667,303,42274
268,business,5006,157,82844
269,business,19993,1870,1851336
270,business,667,305,11649
271,business,146358,3790,7989628
272,business,3440,769,108903
273,business,187,29,4073
274,business,22861,977,1437698
275,tutorial,25630,1741,1435374
276,tutorial,158935,8326,6100867
277,tutorial,74485,1569,4435209
278,tutorial,80368,2008,3368446
279,tutorial,170234,7686,7367727
280,tutorial,30518,486,879609
281,tutorial,45040,1451,1632584
282,tutorial,1341,72,19323
283,tutorial,5180,129,190491
284,tutorial,195700,7321,7569833
285,tutorial,73498,3270,4984442
286,tutorial,235659,11732,9769103
287,tutorial,10669,1149,223700
288,tutorial,8433,882,151493
289,tutorial,63857,1655,1564431
290,tutorial,838345,50531,28574258
291,tutorial,880208,42227,35771194
292,tutorial,981522,122371,68512549
293,tutorial,114246,3748,4416622
294,tutorial,143191,3883,7549484
295,tutorial,216934,4192,5656681
296,tutorial,205557,4239,7783157
297,tutorial,132845,3878,7975584
298,tutorial,74900,1841,1454316
299,tutorial,76010,788,7906241
300,tutorial,18780,514,679453
301,tutorial,4315,203,83902
302,tutorial,23977,1964,925547
303,tutorial,4985,576,191830
304,tutorial,44083,3332,870453
305,tutorial,63543,2634,1642556
306,tutorial,12050,697,793228
307,tutorial,101457,955,1684678
